ID,NAME,LAUNCH_DATE,SUCCESS_STATUS,ROCKET
5f8399fb818d8b59f5740d43,NROL-108,2020-12-19,true,5e9d0d95eda69973a809d1ec
5fb95b3f3a88ae63c954603c,Starlink-15 (v1.0),2020-11-25,true,5e9d0d95eda69973a809d1ec
5fbfecce54ceb10a5664c80a,Starlink-16 (v1.0),2021-01-20,true,5e9d0d95eda69973a809d1ec
5fbfecfe54ceb10a5664c80b,Starlink-17 (v1.0),2021-03-04,true,5e9d0d95eda69973a809d1ec
5fd386aa7faea57d297c86c1,Transporter-1,2021-01-24,true,5e9d0d95eda69973a809d1ec
5fe3af43b3467846b324215e,SARah 1,2022-06-18,true,5e9d0d95eda69973a809d1ec
5fe3af58b3467846b324215f,Crew-2,2021-04-23,true,5e9d0d95eda69973a809d1ec
5fe3af6db3467846b3242160,SXM-8,2021-06-06,true,5e9d0d95eda69973a809d1ec
5fe3af84b3467846b3242161,CRS-22 & IROSA,2021-06-03,true,5e9d0d95eda69973a809d1ec
5fe3afc1b3467846b3242164,Türksat 5B,2021-12-19,true,5e9d0d95eda69973a809d1ec
5fe3b107b3467846b324216b,DART,2021-11-24,true,5e9d0d95eda69973a809d1ec
5fe3b11eb3467846b324216c,CRS-23,2021-08-29,true,5e9d0d95eda69973a809d1ec
5fe3b15eb3467846b324216d,Crew-3,2021-11-11,true,5e9d0d95eda69973a809d1ec
5ff6554f9257f579ee3a6c5f,Starlink-18 (v1.0),2021-02-04,true,5e9d0d95eda69973a809d1ec
600f9a5e8f798e2a4d5f979c,Starlink-19 (v1.0),2021-02-16,true,5e9d0d95eda69973a809d1ec
600f9a718f798e2a4d5f979d,Starlink-20 (v1.0),2021-03-11,true,5e9d0d95eda69973a809d1ec
600f9a8d8f798e2a4d5f979e,Starlink-21 (v1.0),2021-03-14,true,5e9d0d95eda69973a809d1ec
600f9b6d8f798e2a4d5f979f,Transporter-2,2021-06-30,true,5e9d0d95eda69973a809d1ec
60428aafc041c16716f73cd7,Starlink-22 (v1.0),2021-03-24,true,5e9d0d95eda69973a809d1ec
60428ac4c041c16716f73cd8,Starlink-23 (v1.0),2021-04-07,true,5e9d0d95eda69973a809d1ec
605b4b6aaa5433645e37d03f,Starlink-24 (v1.0),2021-04-29,true,5e9d0d95eda69973a809d1ec
605b4b7daa5433645e37d040,Starlink-25 (v1.0),2021-05-04,true,5e9d0d95eda69973a809d1ec
605b4b95aa5433645e37d041,Starlink-26 (v1.0) + Capella-6 + Tyvak-0130,2021-05-15,true,5e9d0d95eda69973a809d1ec
6079bd1c9a06446e8c61bf76,Starlink-27 (v1.0),2021-05-09,true,5e9d0d95eda69973a809d1ec
6079bd399a06446e8c61bf77,Starlink-28 (v1.0),2021-05-26,true,5e9d0d95eda69973a809d1ec
607a34e35a906a44023e085e,NROL-87,2022-02-02,true,5e9d0d95eda69973a809d1ec
607a37565a906a44023e0866,Inspiration4,2021-09-16,true,5e9d0d95eda69973a809d1ec
60e3bf0d73359e1e20335c37,Starlink 2-1 (v1.5),2021-09-14,true,5e9d0d95eda69973a809d1ec
6161c88d6db1a92bfba85348,IXPE,2021-12-09,true,5e9d0d95eda69973a809d1ec
6161c94c6db1a92bfba85349,Starlink 4-3 (v1.5),2021-12-01,true,5e9d0d95eda69973a809d1ec
6161d2006db1a92bfba85356,CRS-24,2021-12-21,true,5e9d0d95eda69973a809d1ec
6161d32d6db1a92bfba85359,CSG-2,2022-01-31,true,5e9d0d95eda69973a809d1ec
618faad2563d69573ed8ca9d,Starlink 4-1 (v1.5),2021-11-13,true,5e9d0d95eda69973a809d1ec
61bba806437241381bf7061e,Starlink 4-4 (v1.5),2021-12-18,true,5e9d0d95eda69973a809d1ec
61bf3e31cd5ab50b0d936345,Transporter-3,2022-01-13,true,5e9d0d95eda69973a809d1ec
61d5eca1f88e4c5fc91f1eb7,Starlink 4-5 (v1.5),2022-01-06,true,5e9d0d95eda69973a809d1ec
61e048bbbe8d8b66799018d0,Starlink 4-6 (v1.5),2022-01-19,true,5e9d0d95eda69973a809d1ec
61e048ffbe8d8b66799018d1,Starlink 4-7 (v1.5),2022-02-03,true,5e9d0d95eda69973a809d1ec
61eefaa89eb1064137a1bd73,Ax-1,2022-04-08,true,5e9d0d95eda69973a809d1ec
61fc01dae0dc5662b76489a7,Starlink 4-8 (v1.5),2022-02-21,true,5e9d0d95eda69973a809d1ec
61fc0203e0dc5662b76489a8,Starlink 4-11 (v1.5),2022-02-25,true,5e9d0d95eda69973a809d1ec
61fc0224e0dc5662b76489ab,Starlink 4-9 (v1.5),2022-03-03,true,5e9d0d95eda69973a809d1ec
61fc0243e0dc5662b76489ae,Starlink 4-10 (v1.5),2022-03-09,true,5e9d0d95eda69973a809d1ec
6234908cf051102e1fcedac4,Starlink 4-12 (v1.5),2022-03-19,true,5e9d0d95eda69973a809d1ec
6243ad8baf52800c6e919252,Transporter-4,2022-04-01,true,5e9d0d95eda69973a809d1ec
6243ada6af52800c6e919253,Starlink 4-14 (v1.5),2022-04-21,true,5e9d0d95eda69973a809d1ec
6243adcaaf52800c6e919254,NROL-85,2022-04-17,true,5e9d0d95eda69973a809d1ec
6243ade2af52800c6e919255,Crew-4,2022-04-27,true,5e9d0d95eda69973a809d1ec
6243ae0aaf52800c6e919257,Nilesat-301,2022-06-08,true,5e9d0d95eda69973a809d1ec
6243ae24af52800c6e919258,Transporter-5,2022-05-25,true,5e9d0d95eda69973a809d1ec
6243aea5af52800c6e91925c,SES-22,2022-06-29,true,5e9d0d95eda69973a809d1ec
625828f25988f159024b9643,Starlink 4-15 (v1.5),2022-05-14,true,5e9d0d95eda69973a809d1ec
6258290d5988f159024b9644,Starlink 4-13 (v1.5),2022-05-13,true,5e9d0d95eda69973a809d1ec
62582a6f5988f159024b964b,Starlink 4-16 (v1.5),2022-04-29,true,5e9d0d95eda69973a809d1ec
62582a855988f159024b964c,Starlink 4-17 (v1.5),2022-05-06,true,5e9d0d95eda69973a809d1ec
62615ebc0ec008379be596fa,Starlink 4-18 (v1.5),2022-05-18,true,5e9d0d95eda69973a809d1ec
6278481757b51b752c5c5a5f,Starlink 4-19 (v1.5),2022-06-01,true,5e9d0d95eda69973a809d1ec
62a9f08b20413d2695d88711,Globalstar FM15,2022-06-19,true,5e9d0d95eda69973a809d1ec
62a9f0c920413d2695d88712,Starlink 4-21 (v1.5),2022-07-07,true,5e9d0d95eda69973a809d1ec
62a9f0e320413d2695d88713,Starlink 3-1 (v1.5),2022-07-11,Unknown,5e9d0d95eda69973a809d1ec
62a9f0f820413d2695d88714,Starlink 4-22 (v1.5),2022-07-17,true,5e9d0d95eda69973a809d1ec
62a9f10b20413d2695d88715,Starlink 3-2 (v1.5),2022-07-21,true,5e9d0d95eda69973a809d1ec
62a9f12820413d2695d88716,Starlink 4-25 (v1.5),2022-07-24,true,5e9d0d95eda69973a809d1ec
62a9f86420413d2695d88719,KPLO,2022-08-04,true,5e9d0d95eda69973a809d1ec
62a9f89a20413d2695d8871a,Starlink 4-2 (v1.5) & Blue Walker 3,2022-09-11,true,5e9d0d95eda69973a809d1ec
62a9f8b320413d2695d8871b,Starlink 4-26 (v1.5),2022-08-09,true,5e9d0d95eda69973a809d1ec
62dd70d5202306255024d139,Crew-5,2022-10-05,true,5e9d0d95eda69973a809d1ec
62f3b4ff0f55c50e192a4e6b,Starlink 3-3 (v1.5),2022-08-12,true,5e9d0d95eda69973a809d1ec
62f3b5200f55c50e192a4e6c,Starlink 4-27 (v1.5),2022-08-19,true,5e9d0d95eda69973a809d1ec
62f3b5290f55c50e192a4e6d,Starlink 4-23 (v1.5),2022-08-28,true,5e9d0d95eda69973a809d1ec
62f3b5330f55c50e192a4e6e,Starlink 4-20 (v1.5) & Sherpa LTC-2/Varuna-TDM,2022-09-05,true,5e9d0d95eda69973a809d1ec
62f3b53a0f55c50e192a4e6f,Starlink 3-4 (v1.5),2022-08-31,true,5e9d0d95eda69973a809d1ec
63161329ffc78f3b8567070b,Starlink 4-34 (v1.5),2022-09-17,true,5e9d0d95eda69973a809d1ec
63161339ffc78f3b8567070c,Starlink 4-35 (v1.5),2022-09-24,true,5e9d0d95eda69973a809d1ec
63161345ffc78f3b8567070d,Starlink 4-36 (v1.5),2022-10-20,Unknown,5e9d0d95eda69973a809d1ec
63161384ffc78f3b8567070e,TTL-1,2022-12-01,Unknown,5e9d0d95eda69973a809d1ec
633f71240531f07b4fdf59bb,Galaxy 33 (15R) & 34 (12R),2022-10-08,Unknown,5e9d0d95eda69973a809d1ec
633f71370531f07b4fdf59bc,Hotbird 13F,2022-10-15,Unknown,5e9d0d95eda69973a809d1ec
633f71820531f07b4fdf59bd,Starlink 4-37 (v1.5),2022-11-01,Unknown,5e9d0d95eda69973a809d1ec
633f71a90531f07b4fdf59be,Galaxy 31 (23R) & 32 (17R),2022-11-08,Unknown,5e9d0d95eda69973a809d1ec
633f71b60531f07b4fdf59bf,Eutelsat 10B,2022-11-15,Unknown,5e9d0d95eda69973a809d1ec
633f71cc0531f07b4fdf59c0,CRS-26,2022-11-18,Unknown,5e9d0d95eda69973a809d1ec
633f71dd0531f07b4fdf59c1,Hotbird 13G,2022-11-03,Unknown,5e9d0d95eda69973a809d1ec
633f72000531f07b4fdf59c2,SES-18 & SES-19,2022-11-01,Unknown,5e9d0d95eda69973a809d1ec
633f72130531f07b4fdf59c3,Viasat-3 & Arcturus,2022-12-01,Unknown,5e9d0d95eda69974db09d1ed
633f723d0531f07b4fdf59c4,ispace Mission 1 & Rashid,2022-11-22,Unknown,5e9d0d95eda69973a809d1ec
633f724c0531f07b4fdf59c5,SWOT,2022-12-05,Unknown,5e9d0d95eda69973a809d1ec
633f72580531f07b4fdf59c6,Transporter-6,2022-12-01,Unknown,5e9d0d95eda69973a809d1ec
